metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,reference_id,scenario_id,scenario_key,family,level_idx,level_factor,lead_steps,delay_steps,score_raw,score_oriented,base_score_oriented,score_gap,normalized_penalty,normalized_score
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.27777778,-0.27777778,-0.25000000,0.02777778,0.11111111,0.88888889
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.41666667,-0.41666667,-0.25000000,0.16666667,0.66666667,0.33333333
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.47222222,-0.47222222,-0.25000000,0.22222222,0.88888889,0.11111111
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__on_time,on_time,on_time,0,0.00000000,0,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__early_warning_l01,early_warning_l01,early_warning,1,0.25000000,4,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.22835278,-0.22835278,-0.25000000,-0.02164722,-0.08658887,1.08658887
